Acompanhamento do fluxo de caixa
Data;Entradas;Saídas;Saldo diário;Saldo acumulado
3.01.05 - Ordenha;10677,03;0;0;0;2118,53;1940,47;1876,66;4741,37;0;-;-;-;-
3.01.05.01 - Manutenção periódica;10092,82;0;0;0;1704,13;1876,66;1876,66;4635,37;0;-;-;-;-
3.01.05.02 - Manutenção esporádica;584,21;0;0;0;414,4;63,81;0;106;0;-;-;-;-
3.01.06 - Identificação de animais;471,35;0;0;293,35;0;0;178;0;0;-;-;-;-
3.01.07 - Manejo de animais;14209,71;0;3587,5;507,58;2196,32;429,28;121,49;3547,54;3820;-;-;-;-
3.01.07.01 - Ferramentas;456,27;0;0;82,5;60;106,28;121,49;86;0;-;-;-;-
3.01.07.02 - Utensílios;4202,4;0;0;0;59,4;323;0;0;3820;-;-;-;-
3.01.07.03 - Equipamentos;9551,04;0;3587,5;425,08;2076,92;0;0;3461,54;0;-;-;-;-
3.02 - Insumos agricultura;27755,08;0;4795;0;22316,41;0;589,67;54;0;-;-;-;-
3.02.01 - Fertilizantes;21105,31;0;0;0;21105,31;0;0;0;0;-;-;-;-
3.02.01.01 - Nitrogenados;10429,2;0;0;0;10429,2;0;0;0;0;-;-;-;-
3.02.01.02 - Fosfatados;10676,11;0;0;0;10676,11;0;0;0;0;-;-;-;-
3.02.02 - Defensivos;589,67;0;0;0;0;0;589,67;0;0;-;-;-;-
3.02.02.01 - Herbicidas;589,67;0;0;0;0;0;589,67;0;0;-;-;-;-
3.02.03 - Corretivos solo;4795;0;4795;0;0;0;0;0;0;-;-;-;-
3.02.03.02 - Calcário;4795;0;4795;0;0;0;0;0;0;-;-;-;-
3.02.04 - Plantio;1211,1;0;0;0;1211,1;0;0;0;0;-;-;-;-
3.02.04.01 - Sementes;1211,1;0;0;0;1211,1;0;0;0;0;-;-;-;-
3.02.08 - Material manejo agrícola;54;0;0;0;0;0;0;54;0;-;-;-;-
3.02.08.01 - Ferramentas;54;0;0;0;0;0;0;54;0;-;-;-;-
3.03 - Operacionais;446861,39;14165;28981,49;39907,29;46049,34;78764,21;118782,39;109330,76;10880,91;-;-;-;-
3.03.01 - Pessoal;94481,85;4277;13757,87;15355,78;15852,97;13277,41;15107,52;16853,3;0;-;-;-;-
3.03.01.01 - Salários;68715,48;2277;4326,69;12653,67;13532,97;10811,41;11850,52;13263,22;0;-;-;-;-
3.03.01.06 - GPS;13588,01;0;3482,52;1571,87;1850,4;1850,4;2362,74;2470,08;0;-;-;-;-
3.03.01.07 - FGTS;2780,09;0;184,96;423,4;469,6;469,6;602,93;629,6;0;-;-;-;-
3.03.01.09 - Rescisões;7813,7;2000;5763,7;0;0;50;0;0;0;-;-;-;-
3.03.01.13 - EPI / uniforme;1190,17;0;0;706,84;0;96;291,33;96;0;-;-;-;-
3.03.01.14 - Outras despesas com pessoal;394,4;0;0;0;0;0;0;394,4;0;-;-;-;-
3.03.02 - Serviços de terceiros;211649,34;1000;10373,32;16231;15973,39;24764,69;83200,36;57605,58;2501;-;-;-;-
3.03.02.01 - Advogado;1793;0;1793;0;0;0;0;0;0;-;-;-;-
3.03.02.02 - Assistência técnica;12200;0;0;0;5500;400;6300;0;0;-;-;-;-
3.03.02.04 - Contador;11244;0;1518;1621;1621;1621;1621;1621;1621;-;-;-;-
3.03.02.06 - Empreitadas;118801,69;0;0;3000;6000;17001,69;62300;30500;0;-;-;-;-
3.03.02.07 - Diaristas;32811,36;1000;1390;4294;2852,39;4432;7700,72;10262,25;880;-;-;-;-
3.03.02.08 - Mão de obra manutenções;21328,32;0;5672,32;7086;0;0;4300;4270;0;-;-;-;-
3.03.02.09 - Serviços diversos de terceiros;13470,97;0;0;230;0;1310;978,64;10952,33;0;-;-;-;-
3.03.04 - Fretes;36473,61;8888;2850;1400;2032,61;11717,6;1326,67;8258,73;0;-;-;-;-
3.03.05 - Manut. veíc. maq. e implementos;21638,96;0;0;708,65;1192,62;5854,62;451,73;13431,34;0;-;-;-;-
3.03.05.01 - Peças;14110,96;0;0;0;382,62;149;148;13431,34;0;-;-;-;-
3.03.05.02 - Borracharia;145,2;0;0;0;60;85,2;0;0;0;-;-;-;-
3.03.05.04 - Lubrificantes;303,73;0;0;0;0;0;303,73;0;0;-;-;-;-
3.03.05.05 - Material oficina;1458,65;0;0;708,65;750;0;0;0;0;-;-;-;-
3.03.05.07 - Seguros;5620,42;0;0;0;0;5620,42;0;0;0;-;-;-;-
3.03.06 - Manutenção imóveis e equip.;28525,87;0;76;803,18;6567,74;12246,21;5568,69;3264,05;0;-;-;-;-
3.03.06.01 - Benfeitorias;11168,23;0;0;112;2583,8;7839,31;633,12;0;0;-;-;-;-
3.03.06.02 - Equipamentos;14058,98;0;0;0;2494,94;4314,88;4472,26;2776,9;0;-;-;-;-
3.03.06.03 - Ferramentas;3175,26;0;76;691,18;1489;92,02;356,31;470,75;0;-;-;-;-
3.03.06.04 - Diversos;123,4;0;0;0;0;0;107;16,4;0;-;-;-;-
3.03.07 - Despesas gerais;54091,76;0;1924,3;5408,68;4430,01;10903,68;13127,42;9917,76;8379,91;-;-;-;-
3.03.07.01 - Energia elétrica;8377,89;0;1798,86;77,47;0;3718,07;1702,44;1081,05;0;-;-;-;-
3.03.07.02 - Produtos limpeza;22,67;0;0;0;0;0;22,67;0;0;-;-;-;-
3.03.07.03 - Combustíveis e lubrificantes;45691,2;0;125,44;5331,21;4430,01;7185,61;11402,31;8836,71;8379,91;-;-;-;-
3.04 - Administrativas;16235,42;1933,95;1554,74;2480,96;2085,36;2724,87;2320,71;2854,83;280;-;-;-;-
3.04.02 - Internet;1149;0;190;190;190;199;190;190;0;-;-;-;-
3.04.04 - Viagens;9881,97;1603,65;889,44;1445,19;1098,6;1956,55;1356,23;1532,31;0;-;-;-;-
3.04.06 - Material escritório;259,7;0;145;31,7;6;6;0;71;0;-;-;-;-
3.04.08 - Diversos;2632,65;0;0;483,77;460,46;563,32;444,18;400,92;280;-;-;-;-
3.04.09 - Softwares;2312,1;330,3;330,3;330,3;330,3;0;330,3;660,6;0;-;-;-;-
3.06 - Despesas com vendas;10991,78;3990;1011,78;0;54,47;3935,53;0;2000;0;-;-;-;-
3.06.01 - Comissões;10991,78;3990;1011,78;0;54,47;3935,53;0;2000;0;-;-;-;-
